序号,主阶段,节点,产品条线,状态,优先级,输出智能体,输出技能
1,产品设计与立项,市场、策略研究,,,P1,,
2,产品设计与立项,产品尽调,,,P0,,
3,产品设计与立项,合规与风控审查,,,P0,,
4,产品设计与立项,产品立项决策,,,,,
5,产品开发与测试,投资组合构建,,,,,
6,产品开发与测试,系统开发与集成,,,,,
7,产品开发与测试,内部试运行,,,,,
8,产品开发与测试,调仓,,,,,
9,产品发行与募集,营销策略制定,,,P1,,
10,产品发行与募集,销售培训与赋能,,,P1,,
11,产品发行与募集,募集期管理,,,,,
12,产品发行与募集,产品成立,,,,,
13,投资运作与管理,日常投资管理,,,P0,,
14,投资运作与管理,估值与净值计算,,,,,
15,投资运作与管理,申购赎回管理,,,,,
16,投资运作与管理,信息披露,,,,,
17,客户服务与维护,营销/客户沟通,,,P0,,
18,客户服务与维护,营销/客户关系管理,,,,,
19,客户服务与维护,存续/投资者大会,,,,,
20,客户服务与维护,存续/产品业绩解读,,,P0,,
21,客户服务与维护,存续/存续转化运作,,,P0,,
22,业绩评估与优化,业绩分析,,,P0,,
23,业绩评估与优化,策略评估与调整,,,P0,,
24,业绩评估与优化,风险事件监控/复盘,,,P0,,
25,产品清盘或转型,清盘决策,,,,,
26,产品清盘或转型,资产处置,,,,,
27,产品清盘或转型,资金分配与清算,,,,,
28,产品清盘或转型,产品注销与归档,,,,,